,,Visitor Arrivals,"伸 率
Change",Japanese Overseas Travelers,"伸 率
Change"
1964,昭和39年,"352,832",15.5,"127,749",27.7
1965,昭和40年,"366,649",3.9,"158,827",24.3
1966,昭和41年,"432,937",18.1,"212,409",33.7
1967,昭和42年,"476,771",10.1,"267,538",26.0
1968,昭和43年,"519,004",8.9,"343,542",28.4
1969,昭和44年,"608,744",17.3,"492,880",43.5
1970,昭和45年,"854,419",40.4,"663,467",34.6
1971,昭和46年,"660,715",△22.7,"961,135",44.9
1972,昭和47年,"723,744",9.5,"1,392,045",44.8
1973,昭和48年,"784,691",8.4,"2,288,966",64.4
1974,昭和49年,"764,246",△2.6,"2,335,530",2.0
1975,昭和50年,"811,672",6.2,"2,466,326",5.6
1976,昭和51年,"914,772",12.7,"2,852,584",15.7
1977,昭和52年,"1,028,140",12.4,"3,151,431",10.5
1978,昭和53年,"1,038,875",1.0,"3,525,110",11.9
1979,昭和54年,"1,112,606",7.1,"4,038,298",14.6
1980,昭和55年,"1,316,632",18.3,"3,909,333",△3.2
1981,昭和56年,"1,583,043",20.2,"4,006,388",2.5
1982,昭和57年,"1,793,164",13.3,"4,086,138",2.0
1983,昭和58年,"1,968,461",9.8,"4,232,246",3.6
1984,昭和59年,"2,110,346",7.2,"4,658,833",10.1
1985,昭和60年,"2,327,047",10.3,"4,948,366",6.2
1986,昭和61年,"2,061,526",△11.4,"5,516,193",11.5
1987,昭和62年,"2,154,864",4.5,"6,829,338",23.8
1988,昭和63年,"2,355,412",9.3,"8,426,867",23.4
1989,平成 元年,"2,835,064",20.4,"9,662,752",14.7
1990,平成 2 年,"3,235,860",14.1,"10,997,431",13.8
1991,平成 3 年,"3,532,651",9.2,"10,633,777",△3.3
1992,平成 4 年,"3,581,540",1.4,"11,790,699",10.9
1993,平成 5 年,"3,410,447",△4.8,"11,933,620",1.2
1994,平成 6 年,"3,468,055",1.7,"13,578,934",13.8
1995,平成 7 年,"3,345,274",△3.5,"15,298,125",12.7
1996,平成 8 年,"3,837,113",14.7,"16,694,769",9.1
1997,平成 9 年,"4,218,208",9.9,"16,802,750",0.6
1998,平成 10年,"4,106,057",△2.7,"15,806,218",△5.9
1999,平成 11年,"4,437,863",8.1,"16,357,572",3.5
2000,平成 12年,"4,757,146",7.2,"17,818,590",8.9
2001,平成 13年,"4,771,555",0.3,"16,215,657",△9.0
2002,平成 14年,"5,238,963",9.8,"16,522,804",1.9
2003,平成 15年,"5,211,725",△0.5,"13,296,330",△19.5
2004,平成 16年,"6,137,905",17.8,"16,831,112",26.6
2005,平成 17年,"6,727,926",9.6,"17,403,565",3.4
2006,平成 18年,"7,334,077",9.0,"17,534,565",0.8
2007,平成 19年,"8,346,969",13.8,"17,294,935",△1.4
2008,平成 20年,"8,350,835",0.0,"15,987,250",△7.6
2009,平成 21年,"6,789,658",△18.7,"15,445,684",△3.4
2010,平成 22年,"8,611,175",26.8,"16,637,224",7.7
2011,平成 23年,"6,218,752",△27.8,"16,994,200",2.1
2012,平成 24年,"8,358,105",34.4,"18,490,657",8.8
2013,平成 25年,"10,363,904",24.0,"17,472,748",△5.5
2014,平成 26年,"13,413,467",29.4,"16,903,388",△3.3
2015,平成 27年,"19,737,409",47.1,"16,213,789",△4.1
2016,平成 28年,"24,039,700",21.8,"17,116,420",5.6
2017,平成 29年,"28,691,073",19.3,"17,889,292",4.5
2018,平成 30年,"31,191,856",8.7,"18,954,031",6.0
2019,平成31 / 令和元 年,"31,882,049",2.2,"20,080,669",5.9
2020,令和 2 年,"4,115,828",△87.1,"3,174,219",△84.2
2021,令和 3 年,"245,862",△94.0,"512,244",△83.9
